node_id,label
1269475077864775680,0
1360117250787835904,0
772890069938081793,1
1713876973,1
943171955716444162,1
1177283492905926657,1
1652752345,0
1262992273,1
348988815,1
2471529011,0
1124960412867465216,1
418807486,0
1041627811474108417,0
3381963215,1
148640810,0
349053733,0
1435936316294844416,0
777978746,1
978358275182821377,1
178406304,0
33485927,0
563980534,0
25670118,1
2215978676,1
1352591024741355521,1
1192652775370436609,0
390955214,1
620191916,1
2659586107,1
767746560709066752,1
2358040837,1
1425794385724182533,1
1278987644605796353,1
1327142746684010497,0
2418796129,1
1347230967740686336,0
1331328530010038272,0
131783170,1
506353174,1
1129731406609944580,1
140574131,1
2183746109,0
1354916429682900995,0
217796510,1
1271509151772897281,1
2351984160,1
1391194739416969219,1
2411167819,0
883216950469566464,1
3110072650,1
621947433,0
28356774,1
2611132624,1
894898625326850048,0
586543835,1
1300746435068080128,0
2380570308,1
906612331,1
1162977481,0
20594940,1
400697983,0
2575184181,1
1031149074358120450,0
32064417,1
742146747309391872,1
621001802,1
1132539213411495941,0
324500594,1
1429402472724852737,1
1392352024306409472,0
448208242,1
778009909,1
1277957311,0
1272815141814448130,1
50875324,1
710287938,1
1183665807114559488,0
755521152924151814,0
243610636,0
928280101,1
1198673070757732352,1
1285919312071589889,0
1047216570584498178,1
1198933367741399040,0
851465223282323456,1
906933410,1
2273245998,0
2722292407,1
228855645,0
1321429014968492032,1
1120300867,0
43015524,1
4450999715,0
1575110011,1
860815758728867841,1
365959308,1
1282295651670401025,0
1417393746543616000,0
2186210180,1
1409429847185711108,0
131935220,1
1565541296,1
23231925,0
536007447,0
1118236168724807690,1
1240739685284098055,0
46935571,1
710736443736498176,0
3182821749,0
446682985,1
733925009832464384,1
1393257616873345032,1
747406857866776576,1
15743120,1
135172653,1
1377667352842674185,0
1388213322315616262,0
1357970164298489856,1
1430811976721215494,0
1387827684621815813,0
23122060,1
1237105376203546627,1
894166719278841856,0
848547390323871745,1
1345019385338077184,0
221510994,1
857903278927032321,1
19227553,0
245420175,1
82616406,1
382638347,1
968520224965365760,1
1127324166267514886,0
1639900970,1
1355751982905044992,0
1325412808410980352,1
107225282,1
1403299778998505472,0
1595327870,0
873849750189113345,1
197143975,1
394246860,1
2363157426,1
2158947188,1
1254733804939481089,1
725960040,1
1026225173878452224,0
20147381,1
31785812,1
1174259800403841028,0
1340671044240236547,1
811829,1
1324671950594166784,0
1426798008620834821,0
78938787,1
92529692,1
413070329,0
362069882,1
1351290107077210112,0
22654074,1
46966065,1
937821751848898561,0
431673577,1
168588598,1
1207720842286813188,1
764526273700003840,1
1300429992296435712,0
822789576410402816,0
813849141126266881,1
812056047191998464,1
4374851536,1
588470328,1
23740283,1
1085984475065053184,1
1175295276334145537,0
1126083367483711489,0
1113193187412185089,1
234021942,1
861344331667566592,1
1109217387059073025,1
1423586280022097921,0
1272052367719088128,0
847111106,0
20451559,1
951172165671555072,0
105087239,1
109030123,0
779794616354758656,1
747076881242071040,1
2251768224,1
1163038201126313984,1
253724049,1
78107726,1
4633574849,1
2267546641,1
2810696728,1
45842327,1
488381270,1
1650061429,1
569194033,0
788055459169177601,0
1169952300930097153,0
81102910,0
201679843,1
27311495,1
1200785022,1
1519515572,0
2402890174,1
183587954,1
3052673962,1
1339617566780743681,1
841798443450396674,1
478865718,1
216469437,1
1151800029776097280,1
207439718,1
1620286813,0
1192521190138679300,1
1496011626,1
1197806630638948352,0
21046592,1
2860640560,1
859085802218893312,1
1138728737439211520,1
1039101115751649280,1
1698344383,1
1412081088684466179,0
1335413196841226242,1
1244284815538409472,1
2273581637,1
106865049,1
1333822631099781120,1
46232739,1
2689003990,1
119954693,0
1394712720113639425,0
1398159196407873538,1
2675382396,1
1255774274352058370,0
757567892049260544,0
1326029863,0
1367788892863164421,0
788587121770651648,0
1416829338,0
1423394818617659400,0
859680219300454400,1
1250582638206824448,0
1054039492930215936,0
1255149919205117965,1
3272295852,1
814394208,1
1330228226887651330,0
1256125163482910720,0
2320690244,1
4741904240,1
1358231184128507905,0
1156422746177462272,0
934679988053463041,0
31659838,1
14447500,0
1074198759456690176,1
1097539750184083457,0
2674025416,0
1346370385697263618,1
1152103242840465414,0
2611595392,0
2588349264,0
2725380336,0
907285604404051968,0
3346141649,1
2209909516,1
1405729710294847488,0
439196719,1
796130246672007168,0
1384316860053671939,0
203714620,1
1112986895343083520,0
274328659,1
401129357,0
1342126436396617728,0
1175514397680295941,0
1094001363036573701,0
1393746117238665224,0
1119804441245437952,0
1318329726235234306,1
1360917297913683969,0
780504524301611008,0
1407758701042098178,0
1309620240452640769,1
1341969478243020800,0
33427107,1
1194059220573921281,1
1057435113607360512,0
817544569847971840,0
1282351182221127680,1
1125903146,0
1420247502515810304,0
522919955,1
1142923317650894850,1
77010558,1
2152275560,0
1362571863965257729,0
2278159576,0
1300251958796746755,0
33578022,1
4167146112,1
765621213242679297,0
1409914077724352516,0
1891608584,1
964857472186904576,1
2159734602,1
1374420244039565319,1
937191322775162880,0
1366592909500436482,0
1316135242751565825,0
749719232619880448,0
922982140131856385,1
38697653,1
1356179481698959456,0
990276196645658625,0
1142399771597918208,1
1350703506244710401,0
196173468,0
1382636370053656578,0
1532379493,1
2946881245,1
1107882338,1
1388529571847237632,0
1301356212810809346,0
1142490415528108033,0
150512204,1
1239970835403698178,0
1245904893581328386,1
1022038249,0
90299077,0
1408989498,1
3115824680,1
1668507055,1
1644565422,1
406792275,0
1204077073444163592,0
565783161,1
194711490,1
3136097340,1
1072918170774708225,0
835587225194655744,0
1364325943662231560,0
1044704707921489920,0
1284647212648206339,1
359475684,1
4882314680,1
124276945,1
1216528915,1
1384226975464628225,0
1955005813,1
866135761778753536,1
319941399,1
1412841480759152643,1
1311024502130778113,0
2608960803,0
1309293287967092736,0
835121804268224513,1
1078038632391458816,0
2727533254,0
19375831,1
1309825994757476352,0
2358869989,0
190441201,1
3079988001,1
1107586045023907840,0
987796027183902726,0
465747525,1
1266910245688733696,1
53648916,0
13104972,0
92995157,1
15682994,1
1310302112224628736,0
1388058185731383296,0
23961474,1
3223319352,1
2680292768,1
1421977427660746756,0
1388599482116415492,0
267463190,1
233976432,0
979428144586338304,0
1035930499,1
1466106463,1
1152727351777726464,1
940755061931675650,1
2810552940,1
4164919992,1
4632420152,1
3196315473,0
4056984615,1
1237060793436381187,0
866503130481127424,0
454166985,0
253857735,0
871766391166205952,0
128412356,0
1263878275597729792,1
292339098,0
77254462,1
23744271,1
1309166097996877825,0
468561488,1
1385605615842729986,0
2723029219,0
949805891628552194,1
497017528,1
1162093748232343552,0
1140639890096435200,0
122871172,1
558307704,1
3254930186,1
1407037061102804998,0
435443244,1
368219312,1
1399879698952298496,1
718444143396188160,0
1357936964880760833,0
1261350271575363585,0
1412943003363291137,0
741771734,1
1244815987997900802,0
1854288848,1
116603661,1
815505632,1
1368958970522525697,0
1025363873426288642,1
3006917595,0
750633860220723201,1
805870385405235201,0
1371021163,0
3252791818,1
